AQP4	GAD1	NEUROD2	NEUROD2_GAD1	PAX6	PAX6_AQP4	PAX6_GAD1	PAX6_NEUROD2	PAX6_NEUROD2_GAD1	PDGFRA	PDGFRA_GAD1	PDGFRA_NEUROD2	PTPRC	PTPRC_NEUROD2
C9orf152	0	0	0	2	0	0	0	0	0	0	0	0	0	0
C9orf153	0	0	91	53	57	0	0	118	0	46	0	0	1	0
C9orf156	190	253	1367	143	1209	183	3	437	0	242	1	37	7	32
C9orf16	771	6139	108136	14904	12571	1464	881	25540	1110	3908	945	2143	2807	2454
C9orf163	0	0	1	0	0	0	0	27	0	1	0	0	0	0
C9orf170	0	0	1	12	42	0	0	22	0	0	0	0	1	0
C9orf171	0	0	1	0	42	0	0	2	0	0	0	0	0	0
C9orf172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf173-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf24	144	137	3517	194	2541	181	3	1183	282	207	147	186	3	1
C9orf3	37	22	992	233	725	4	0	276	1	133	54	30	69	19
C9orf40	12	307	2224	325	257	3	3	668	2	16	51	288	0	23
C9orf41	0	2	340	7	40	0	0	133	0	6	0	0	0	0
C9orf41-AS1	1	0	426	157	232	0	0	38	0	0	0	3	1	0
C9orf43	1	0	40	27	78	0	0	6	0	0	0	0	0	0
C9orf47	0	18	510	54	46	4	0	130	0	1	0	0	0	0
C9orf50	0	0	90	0	37	0	0	1	0	87	2	1	0	0
C9orf57	0	0	0	36	0	0	0	4	0	0	0	0	0	0
C9orf62	0	0	0	14	0	0	0	0	0	0	0	0	0	0
C9orf64	35	158	2291	412	494	9	0	406	6	110	23	41	145	4
C9orf66	0	5	36	4	6	0	0	8	0	0	1	1	42	8
C9orf69	18	685	1295	568	186	46	1	555	3	55	1	31	155	14
C9orf72	43	672	4499	1094	858	148	44	1597	79	154	1	34	234	63
C9orf78	574	5373	37570	4262	7496	830	211	7800	157	1180	322	855	604	214
C9orf84	85	43	647	329	70	17	0	204	2	98	0	131	82	1
C9orf85	3	229	2434	287	1081	110	2	615	2	273	9	107	219	235
C9orf89	171	1084	5554	860	2834	464	23	1287	78	98	51	95	250	275
C9orf9	1	207	2606	288	633	247	0	731	8	60	45	71	18	6
C9orf91	8	195	1194	668	369	32	8	407	85	103	80	51	648	32
C9orf92	0	0	6	0	0	0	0	0	0	0	0	0	0	0
CA1	0	2	4	2	30	48	30	1	0	0	0	2	1	0
CA10	1	24	2850	910	102	120	2	715	1	2506	346	493	4	38
CA11	31	157	927	309	136	5	18	323	41	18	0	178	92	103
CA12	1230	712	4935	328	5034	1122	102	4225	123	84	86	68	22	16
CA13	59	7	43	4	113	0	0	48	0	8	0	0	2	1
CA14	12	4	379	58	572	1	39	252	5	158	43	5	1	0
CA2	288	512	335	68	168	334	3	405	2	62	53	5	9	3
CA3	0	3	193	1	83	6	0	307	0	98	0	2	0	0
CA3-AS1	0	1	2	0	0	0	0	2	0	0	0	0	0	0
CA4	0	6	28	94	14	0	0	2	0	75	0	0	0	0
CA5A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA5B	3	166	1297	88	533	17	3	359	171	110	2	8	4	4
CA5BP1	3	113	353	178	77	32	5	158	1	5	33	19	11	0
CA6	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA8	0	64	206	105	335	123	1	101	0	306	100	128	114	11
CA9	0	0	80	4	94	0	0	10	0	0	0	0	0	0
CAAP1	12	573	4307	364	1837	207	64	1300	23	378	370	35	187	144
CAB39	118	1057	10700	1774	1885	64	28	3039	149	298	146	668	569	527
CAB39L	150	514	6417	941	735	13	288	1927	2	76	74	136	127	9
CABIN1	27	791	5816	1453	1830	277	53	2195	487	559	10	455	391	243
CABLES1	41	9	714	149	17	250	0	103	23	6	13	22	53	7
CABLES2	4	342	2449	562	729	2	1	1136	35	203	151	89	21	85
CABP1	1	15	600	182	34	19	0	185	0	0	0	32	19	0
CABP2	0	0	4	0	0	0	0	0	0	0	0	0	0	0
CABP4	5	27	469	63	46	1	0	270	4	8	4	9	9	5
CABP5	0	0	0	3	0	0	0	24	0	0	0	0	0	0
CABP7	1	2	1145	1	245	40	1	419	7	0	0	3	0	0
CABS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CABYR	110	148	4154	363	590	39	0	515	13	78	0	153	31	92
CACFD1	219	1065	10871	1728	1599	539	23	3926	70	282	123	129	62	77
CACHD1	8	155	2613	363	718	37	27	1124	10	83	1	19	3	111
CACNA1A	89	363	8450	2323	440	69	147	2619	260	253	152	403	97	390
CACNA1B	315	1369	7515	2986	799	71	135	1779	266	635	77	597	140	348
CACNA1C	18	787	2984	1943	439	118	55	467	67	55	40	314	10	16
CACNA1C-AS1	0	7	181	252	160	74	0	58	0	0	1	9	0	0
CACNA1C-AS2	43	2	149	31	11	0	0	29	1	0	0	59	0	0
CACNA1C-AS4	0	0	496	153	1	0	0	364	0	0	0	6	0	31
CACNA1C-IT2	0	9	74	5	0	0	0	7	0	1	1	2	0	0
CACNA1C-IT3	0	15	4	0	7	0	0	0	0	0	0	0	0	0
CACNA1D	63	101	1343	332	110	9	20	146	0	62	30	37	15	24
CACNA1E	209	2889	31301	8490	1928	95	146	6480	482	1073	364	1591	214	386
CACNA1F	0	0	9	2	0	0	0	0	0	1	0	0	0	1
CACNA1G	200	128	1053	479	114	50	68	96	3	120	20	48	24	6
CACNA1G-AS1	0	0	76	0	6	0	0	1	0	0	0	0	0	0
CACNA1H	24	77	1071	463	63	26	1	337	23	102	0	88	3	3
CACNA1I	291	482	2845	2104	347	91	3	440	62	142	2	516	18	237
CACNA1S	0	0	1	0	0	0	0	69	0	0	0	0	0	0
CACNA2D1	242	1464	25945	5397	2672	265	113	4344	313	792	84	1524	359	337
CACNA2D2	0	222	308	52	350	22	0	4	29	3	0	1	0	0
CACNA2D3	7	392	1885	930	138	4	0	455	6	3	70	143	1	69
CACNA2D3-AS1	0	0	50	16	0	0	0	21	0	0	4	0	0	1
CACNA2D4	0	0	0	0	0	0	0	4	0	0	0	0	0	0
CACNB1	70	594	5668	956	1020	33	16	1588	6	137	144	171	28	75
CACNB2	83	357	1825	598	659	294	110	591	100	169	77	171	37	91
CACNB3	289	2751	17819	3097	2602	154	212	3940	685	1055	303	622	52	700
CACNB4	18	1160	7523	891	622	87	36	1507	109	522	130	230	245	238
CACNG1	7	52	43	0	0	0	0	68	0	0	0	0	0	0
CACNG2	0	749	1966	766	193	9	1	453	5	263	83	90	71	109
CACNG3	41	553	1872	1006	8	81	108	823	4	75	236	108	5	1
CACNG4	34	869	3013	818	747	120	28	1093	47	234	21	296	119	16
CACNG5	0	0	3	0	0	0	0	0	0	10	0	0	0	0
CACNG6	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CACNG7	15	131	518	226	150	10	0	138	9	42	9	26	2	2
CACNG8	256	1246	11375	3937	1021	738	38	3699	124	268	29	544	110	650
CACTIN	3	179	1490	466	307	30	1	524	0	81	7	45	3	39
CACTIN-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACUL1	244	1011	8762	1436	2647	306	334	2270	100	236	62	336	442	100
CACYBP	337	4420	28490	3077	14267	1263	414	9264	256	2202	592	971	1172	247
CAD	182	246	2298	502	1505	3	30	1179	4	85	2	294	3	52
CADM1	445	9163	49093	6974	8591	826	476	12348	577	1593	593	936	269	414
CADM2	508	1187	13175	2402	1665	635	121	2215	210	1693	444	1417	32	261
CADM2-AS2	0	0	49	38	90	40	0	2	0	0	0	0	0	0
CADM3	47	674	4755	1385	747	358	46	973	162	46	96	254	46	71
CADM3-AS1	0	0	0	7	0	0	0	0	0	0	0	0	0	0
CADM4	131	425	4574	835	423	384	130	1422	148	309	131	443	102	332
CADPS	259	3271	11965	3493	2980	211	245	4264	229	397	391	752	40	148
CADPS2	0	2	53	15	9	0	0	63	0	19	0	0	0	0
CAGE1	10	0	5	1	0	0	0	5	0	1	0	0	0	1
CAHM	0	12	827	234	300	8	0	532	0	66	0	2	106	0
CALB1	1	423	839	660	197	28	0	161	108	27	4	38	80	67
CALB2	120	5041	20966	1748	2367	128	120	2902	139	441	103	89	198	478
CALCA	0	0	0	34	0	0	0	0	0	0	0	0	0	0
CALCB	0	0	0	15	0	0	0	0	0	0	0	0	0	0
CALCOCO1	124	943	7732	1314	1210	414	42	2648	108	416	217	151	314	149
CALCOCO2	133	520	2335	530	2371	451	32	1537	39	305	319	271	213	4
CALCR	0	0	47	1	0	0	0	153	0	0	0	0	62	1
CALCRL	13	14	60	10	105	92	1	34	0	375	70	49	0	2
CALD1	788	2158	19318	2136	11158	972	86	9497	294	1662	312	943	86	407
CALHM1	0	0	6	3	1	0	0	0	0	0	1	0	0	0
CALHM2	44	79	102	23	318	58	0	173	0	126	0	1	25	10
CALHM3	0	0	0	16	0	0	0	0	0	0	0	0	0	0
CALM1	10774	56553	657765	94095	114109	21747	7370	156494	6939	34534	8524	27128	10027	10457
CALM2	3922	46699	393899	38981	112040	8535	6214	108465	4359	17519	4578	9006	10781	4267
CALM3	598	7556	66629	11000	18065	2165	765	17873	753	4959	946	2858	2303	1165
CALML3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALML3-AS1	0	1	30	4	11	0	0	7	3	1	0	0	0	0
CALML4	4	198	3247	401	858	283	47	682	50	101	5	4	349	144
CALML5	0	1	1	1	0	0	0	0	0	0	0	0	0	0
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALN1	152	346	7068	3252	483	74	162	1914	77	381	105	497	63	256
CALR	691	4259	30007	4249	11918	2954	691	10501	270	2408	684	1160	2639	438
CALR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALU	555	1874	15526	1594	8264	1301	285	5314	115	964	221	726	311	54
CALY	13	639	2971	1375	94	34	1	575	1	46	85	154	70	15
CAMK1	52	875	4440	1027	429	227	2	957	109	338	133	266	32	105
CAMK1D	304	2504	20160	4285	2386	323	286	5305	221	821	341	776	620	370
CAMK1G	1	222	774	110	104	0	0	105	0	27	50	97	3	1
CAMK2A	1	16	782	194	106	0	0	97	0	74	0	56	0	136
CAMK2B	1110	3181	32594	10802	1711	768	207	6170	500	1234	247	3381	555	1165
CAMK2D	38	941	5732	1303	1382	324	237	2088	45	795	47	266	484	11
CAMK2G	347	667	8291	752	1506	865	79	2157	56	222	24	331	127	326
CAMK2N1	115	5511	41656	7683	4792	399	368	11753	709	968	480	1784	434	924
CAMK2N2	109	327	3168	1073	182	91	108	382	142	231	6	615	8	158
CAMK4	1	240	2025	418	355	60	7	335	2	152	50	42	3	82
CAMKK1	45	78	2108	540	222	139	41	719	161	74	5	108	421	3
CAMKK2	178	2248	19729	3672	2729	358	30	4682	337	497	174	769	157	376
CAMKMT	168	176	1322	131	710	297	22	454	103	28	144	47	99	28
CAMKV	208	1843	27534	5249	1221	250	157	6647	317	464	404	1431	280	355
CAMLG	903	6839	49807	7130	11645	1111	562	14501	506	2852	760	1537	503	231
CAMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMSAP1	116	2438	15054	3458	2412	140	22	4104	210	238	215	914	271	327
CAMSAP2	385	2786	17772	4768	2628	289	162	5959	522	741	267	1089	243	255
CAMSAP3	122	377	6103	1628	273	34	19	1166	59	251	25	453	92	175
CAMTA1	1114	6981	32879	6915	15817	2465	711	13827	493	2157	501	2569	926	668
CAMTA2	173	692	4380	748	602	99	345	1538	36	337	161	304	157	9
CAND1	255	1363	12295	2014	3240	345	240	3610	189	733	104	488	69	304
CAND1.11	0	0	3	0	0	0	0	29	0	0	0	1	0	0
CAND2	169	208	2866	835	934	34	53	844	16	127	207	289	23	75
CANT1	83	114	3332	198	1580	69	2	1120	30	327	8	136	69	50
CANX	1091	3482	29196	4839	8814	2223	452	10920	691	2900	1066	2039	1997	881
CAP1	941	3090	25994	2414	7547	787	243	8488	83	1927	437	1033	3602	799
CAP2	321	1296	18515	2138	1814	618	133	4356	10	709	134	214	322	629
CAPG	69	98	2509	305	4545	453	101	3057	38	12	2	73	2252	601
CAPN1	608	1271	12140	1833	1994	526	185	2474	71	447	150	775	435	244
CAPN10	68	435	3723	1467	1008	103	20	1184	2	30	2	67	54	28
CAPN10-AS1	5	219	1308	360	232	188	2	348	3	61	4	12	10	45
CAPN11	0	213	6	0	0	0	0	0	0	0	0	0	0	0
CAPN12	0	0	4	0	3	0	0	3	0	4	0	0	0	1
CAPN13	0	1	23	0	0	0	0	1	0	0	0	0	1	0
CAPN14	0	24	48	1	12	1	0	43	1	0	1	1	0	1
CAPN15	47	94	2845	904	369	16	1	831	56	134	30	69	106	6
CAPN2	317	1253	4639	1213	2411	808	148	1386	32	1225	312	175	207	90
CAPN3	130	8	194	361	119	15	0	88	3	5	38	120	13	2
CAPN5	61	382	2515	500	228	45	60	487	6	213	111	210	12	223
CAPN6	0	0	99	1	94	0	60	24	0	0	0	1	1	0
CAPN7	5	780	6912	717	1336	135	66	2406	11	238	69	188	31	122
CAPN8	0	0	28	0	0	0	0	1	0	0	0	0	0	0
CAPN9	0	2	30	0	0	20	0	31	0	0	0	0	0	0
CAPNS1	376	637	9600	1748	2795	455	236	3498	283	448	162	358	660	133
CAPNS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPRIN1	474	2749	32514	4265	7410	653	436	10265	453	1537	328	1012	615	518
CAPRIN2	316	2084	9511	1458	1794	245	104	2762	199	663	205	603	167	373
CAPS	39	63	1127	398	72	144	1	393	4	8	25	5	20	171
CAPS2	0	0	459	31	269	32	0	65	0	1	0	2	0	1
CAPSL	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CAPZA1	124	1432	9235	1581	3508	352	161	4739	174	1075	328	174	1024	374
CAPZA2	583	4010	28668	3181	8380	2117	408	8269	274	1324	642	937	1540	699
CAPZA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPZB	264	1954	15020	1179	5272	623	158	4959	298	1198	191	479	3118	756
CARD10	1	78	487	124	5	0	0	174	0	0	0	73	4	3
CARD11	0	1	1	14	0	0	0	2	0	0	0	0	282	8
CARD14	0	0	444	105	2	0	0	66	3	7	0	0	296	100
CARD16	1	4	88	2	4	2	43	1	0	0	0	0	28	5
CARD17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARD18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARD6	13	3	58	1	5	1	0	3	1	0	0	1	56	2
CARD8	6	409	2111	259	1014	30	10	672	5	268	13	17	266	86
CARD8-AS1	0	0	36	2	99	0	0	22	0	5	27	1	44	1
CARD9	0	13	240	66	7	3	5	91	0	0	0	3	438	170
CARF	60	284	1906	756	622	47	0	707	2	106	1	71	1	2
CARHSP1	490	2012	26287	2515	13037	1810	271	13731	329	940	220	601	867	391
CARKD	6	2081	8988	1096	2156	577	165	2362	12	374	173	145	78	263
CARM1	107	656	5917	1482	1021	138	67	1972	25	234	8	348	144	121
CARNS1	0	7	9	1	3	0	0	1	0	1	0	0	0	0
CARS	263	1124	10391	1006	1717	508	128	3267	9	399	82	229	239	38
CARS2	105	1013	5507	1426	1028	135	7	1493	77	393	139	351	211	8
CARTPT	0	0	329	2	27	0	0	33	0	1	0	0	2	1
CASC1	2	36	710	1	114	41	1	67	0	0	0	0	269	1
CASC10	1	2	446	186	395	1	0	308	5	1	0	2	3	13
CASC11	0	0	48	0	0	0	0	7	0	0	0	0	0	0
CASC15	1	996	8725	1234	1877	0	2	1762	0	24	86	95	76	60
CASC16	0	0	5	0	0	0	0	0	0	0	0	0	0	0
CASC17	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CASC18	0	0	2	0	0	0	0	41	0	0	0	0	0	0
CASC19	0	0	41	0	0	0	0	65	0	0	0	0	0	0
CASC2	0	172	219	8	224	14	0	209	0	11	0	28	21	2
CASC20	0	0	33	1	0	0	0	0	0	0	0	0	0	0
CASC21	0	0	0	0	1	0	0	1	0	0	0	1	0	0
CASC23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASC3	249	3422	28018	3023	6011	475	604	8404	371	1010	445	1261	502	411
CASC4	351	1568	11400	2573	3223	405	204	3479	336	480	118	732	355	269
CASC5	0	1	727	28	2075	1	0	588	84	267	71	0	256	0
CASC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASC8	0	12	2	0	0	0	0	142	0	0	0	0	0	0
CASC9	0	0	4	51	0	0	0	1	0	0	0	0	0	0
CASD1	156	873	5667	760	988	142	55	2300	73	367	33	258	141	165
CASK	367	1208	10042	2633	1557	209	42	2577	208	911	155	812	402	69
CASKIN1	1	0	66	130	1	0	0	42	0	21	0	0	16	0
CASKIN2	12	18	522	38	161	99	20	330	7	41	0	16	0	26
CASP1	34	32	672	11	238	70	0	69	0	3	2	0	636	107
CASP10	0	1	134	3	0	0	0	63	0	1	0	0	406	44
CASP12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP14	0	0	0	0	1	0	0	0	1	0	0	0	0	0
CASP1P2	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CASP2	87	1599	11122	1385	3046	138	229	3262	338	528	149	373	367	152
CASP3	389	1165	6493	681	2469	1059	234	2067	202	462	103	404	243	125
CASP4	0	2	106	52	5	25	0	19	0	0	0	1	226	69
CASP5	0	0	111	0	0	0	0	0	0	0	0	0	20	97
CASP6	13	1283	5594	621	2788	123	97	1876	3	525	13	180	69	15
CASP7	18	30	131	76	426	80	59	358	0	1	0	3	54	229
CASP8	105	47	382	321	55	1	0	86	1	146	2	17	172	1
CASP8AP2	217	1620	7907	1381	3006	65	148	4190	99	783	76	423	314	6
CASP9	95	62	647	306	374	51	0	307	1	77	1	40	2	58
CASQ1	316	109	632	58	1207	1004	0	274	59	5	0	13	24	37
CASQ2	0	42	2	0	28	0	0	0	0	0	0	0	0	0
CASR	0	0	5	0	72	0	0	0	0	2	0	0	0	0
CASS4	0	3	7	1	4	2	0	75	0	2	0	0	2	1
CAST	18	511	1302	342	2220	404	107	1020	98	88	612	40	492	184
CASZ1	31	0	195	200	81	0	0	20	0	1	0	0	0	5
CAT	341	957	6080	1032	3761	461	124	2133	110	945	21	282	482	218
CATIP	0	2	62	33	0	0	0	1	0	0	0	1	60	21
CATIP-AS1	0	0	19	0	0	0	0	0	0	0	0	0	0	0
CATIP-AS2	0	0	288	119	29	0	0	2	0	0	0	0	32	0
CATSPER1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
CATSPER2	28	207	1109	158	312	1	0	97	0	11	26	58	52	48
CATSPER2P1	3	382	1354	397	493	1	0	341	10	19	120	14	20	97
CATSPER3	0	0	95	7	11	3	0	86	17	6	0	0	0	0
CATSPER4	0	0	0	0	0	0	0	3	0	0	0	0	0	0
CATSPERB	0	3	0	0	0	0	0	6	0	0	0	0	0	0
CATSPERD	0	16	141	0	12	0	0	33	0	0	0	0	0	1
CATSPERG	1	143	581	161	232	5	29	136	0	0	2	113	0	40
CAV1	89	163	4141	433	288	173	0	283	0	247	2	96	7	1
CAV2	25	84	1691	248	371	1	11	447	0	109	59	399	55	4
CAV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBFA2T2	53	1079	9131	1124	2399	179	19	3252	349	202	184	262	26	87
CBFA2T3	12	1021	3463	961	326	57	28	840	10	178	13	75	61	5
CBFB	63	313	3348	693	1351	129	22	997	3	425	100	205	474	84
CBL	91	579	7837	1762	2230	604	4	3556	82	226	64	269	1076	153
CBLB	37	538	7894	1572	1234	69	5	2612	255	427	8	239	195	159
CBLC	0	0	0	5	1	0	0	0	0	10	0	0	0	0
CBLL1	82	409	5102	607	1443	202	26	896	0	176	95	302	160	136
CBLN1	1	188	940	370	57	1	0	815	1	24	10	34	0	142
CBLN2	86	660	9846	3399	362	269	49	1600	23	101	218	735	52	197
CBLN3	0	0	38	0	70	0	0	2	4	0	0	0	0	0
CBLN4	1	130	599	55	75	29	14	162	0	4	6	18	0	0
CBR1	1060	1190	10933	849	5055	2607	170	3769	239	1557	504	825	489	114
CBR3	0	101	603	85	522	145	37	151	0	274	0	28	1	3
CBR3-AS1	7	9	240	21	36	7	7	224	2	9	50	6	5	3
CBR4	87	951	3914	414	1614	207	29	1351	109	867	275	173	38	80
CBS	802	1094	16491	1110	5191	1767	237	5486	366	1194	125	470	42	166
CBWD1	101	562	8653	679	3734	361	105	2904	195	184	90	171	251	89
CBWD2	13	645	3044	398	1021	168	87	940	53	180	34	69	77	48
CBWD3	5	35	454	101	119	49	2	142	14	36	8	9	6	0
CBWD5	22	472	2753	688	827	174	42	595	88	116	13	160	143	107
CBWD6	0	58	644	173	237	0	0	111	0	0	4	10	7	1
CBX1	581	7586	64462	6425	17836	1438	360	21712	1455	2179	877	1069	1024	421
CBX2	13	180	1568	479	1246	1	24	1495	1	2	16	133	7	21
CBX3	840	7689	76019	7137	25070	1232	1175	22046	1016	4198	1175	1997	1436	1332
CBX3P2	0	0	154	1	51	15	0	46	0	0	1	0	1	0
CBX4	57	372	4093	651	1098	180	31	633	1	288	62	62	440	45
CBX5	1086	9675	67560	8995	29057	1936	1305	28377	1803	6882	1346	2911	729	1185
CBX6	502	986	9406	2851	1739	435	21	3144	225	304	245	616	195	251
CBX7	1	31	1015	184	146	46	1	288	3	31	1	20	0	0
CBX8	0	16	364	37	375	1	8	184	0	26	0	29	49	21
CBY1	243	1550	10108	1031	3125	90	148	2761	52	348	82	287	31	232
CBY3	0	0	1	7	2	0	0	0	0	3	0	0	0	0
CC2D1A	9	751	4538	1194	944	186	52	906	22	149	190	172	89	21
CC2D1B	2	144	1213	403	203	64	51	281	30	192	0	42	35	3
CC2D2A	324	874	6193	1477	1850	347	97	1957	293	486	17	310	226	12
CC2D2B	0	12	156	157	13	0	0	30	1	6	5	0	0	0
CCAR1	262	3541	28166	4161	8449	659	303	8537	405	1529	567	1561	838	740
CCAR2	116	705	4445	573	879	35	39	1712	56	197	33	323	104	120
CCAT1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CCAT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCBE1	76	685	7399	2673	381	74	98	777	26	110	96	744	88	463
CCBL1	115	325	2299	394	530	22	48	699	174	182	41	42	34	36
CCBL2	0	851	4658	424	1282	4	151	1085	141	290	2	154	145	23
CCDC101	71	1258	10046	1299	2305	128	59	2850	37	593	373	83	188	162
CCDC102A	183	0	75	30	2	30	0	60	1	1	17	0	0	0
CCDC102B	0	137	484	91	224	0	0	109	1	43	0	27	6	0
CCDC103	2	19	283	3	301	85	0	252	10	0	0	0	98	0
CCDC105	0	0	22	58	0	0	0	0	0	0	0	0	0	0
CCDC106	119	392	5560	869	705	363	9	1394	64	125	5	311	85	130
CCDC107	0	3	22	2	9	2	1	7	0	5	0	2	8	1
CCDC108	0	32	80	152	171	0	0	112	0	0	0	0	0	2
CCDC109B	27	2058	2581	726	1444	4	76	1316	61	105	101	70	131	188
CCDC110	7	12	178	130	216	0	0	92	0	71	0	0	0	0
CCDC112	330	6529	49409	7004	8074	543	471	10197	422	1989	211	1226	734	655
CCDC113	131	158	1980	142	571	3	10	237	11	207	16	117	14	42
CCDC114	1	3	139	16	4	7	0	32	4	3	0	1	1	2
CCDC115	268	3401	18351	2216	3588	389	228	4585	46	593	45	596	518	584
CCDC116	0	0	33	0	0	0	0	1	0	0	0	0	0	0
CCDC117	2	230	3841	356	1027	135	12	858	84	120	45	109	151	144
CCDC12	364	4381	32418	2561	10597	1041	345	9378	338	1520	802	618	1072	637
CCDC120	58	226	2046	594	231	27	28	910	2	312	0	70	40	51
CCDC121	0	34	683	84	508	0	3	815	0	177	0	30	12	1
CCDC122	21	352	4379	1066	865	46	179	1032	231	144	40	238	61	51
CCDC124	475	2452	28496	3534	7832	713	429	8981	156	1711	531	1038	601	426
CCDC125	2	49	1428	166	190	29	2	815	8	19	0	124	1	5
CCDC126	54	193	1882	336	546	80	15	542	2	262	63	7	4	12
CCDC127	110	568	4799	645	2124	271	153	1881	127	439	67	120	228	36
CCDC129	0	0	258	2	9	0	1	43	0	14	0	0	1	1
CCDC13	92	15	84	1	142	0	0	75	0	0	1	0	7	6
CCDC13-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC130	77	1425	10966	1477	2557	195	257	2216	146	523	95	293	246	358
CCDC132	38	426	4517	1148	1217	44	3	1567	24	27	74	108	148	65
CCDC134	0	19	137	0	51	0	1	65	1	5	0	67	20	0
CCDC136	239	1188	8461	2626	1610	90	5	2315	50	366	159	262	117	198
CCDC137	89	436	7739	1088	2645	351	116	2938	34	379	163	107	197	23
CCDC138	34	150	1594	335	1152	0	71	960	165	50	66	1	25	19
CCDC14	318	2511	14809	3287	4410	212	515	5644	237	1244	261	1014	406	187
CCDC140	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC141	0	1	170	22	12	0	0	50	0	0	82	0	0	1
CCDC142	113	455	5768	1080	1038	53	106	1879	8	377	37	118	47	386
CCDC144A	86	302	3160	711	354	7	1	454	21	36	87	85	26	60
CCDC144B	610	2489	20587	11585	2217	455	478	5289	587	817	522	1583	568	769
CCDC144CP	16	237	1539	622	408	127	60	282	16	57	22	342	8	0
CCDC144NL	0	9	49	0	0	0	0	75	0	0	0	0	0	0
CCDC144NL-AS1	0	1	27	7	7	0	0	1	0	0	0	0	0	1
CCDC146	120	294	2799	596	471	40	14	727	1	116	1	135	11	81
CCDC148	135	561	2373	1231	615	36	172	1018	11	151	15	60	44	1
CCDC148-AS1	0	0	38	0	1	0	0	0	0	0	0	0	0	0
CCDC149	18	211	954	212	213	278	0	41	1	48	114	68	1	2
CCDC15	60	388	1429	550	778	10	23	533	6	142	461	138	0	55
CCDC150	0	31	385	18	1424	6	45	510	0	212	1	84	45	1
CCDC151	55	0	227	5	4	1	30	33	0	0	2	2	52	0
CCDC152	0	1295	5672	755	2684	60	99	2344	52	497	623	184	1	4
CCDC153	1	0	30	3	475	31	0	128	0	1	0	2	0	36
CCDC154	0	28	322	50	126	7	0	202	0	1	1	140	0	0
CCDC155	0	0	1	39	0	0	0	1	0	0	0	0	0	0
CCDC157	0	65	885	156	40	40	1	271	0	86	0	1	0	96
CCDC158	1	187	103	31	108	0	0	0	1	0	0	62	0	0
CCDC159	2	138	1414	53	372	349	82	619	0	186	56	40	144	4
CCDC160	73	21	118	72	5	15	0	8	0	0	0	0	0	0
CCDC162P	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCDC163P	2	59	134	63	12	2	1	101	0	4	29	2	20	1
CCDC166	0	0	5	0	0	0	0	0	0	0	0	0	0	0
CCDC167	1089	5282	44500	5218	21268	1873	467	14088	368	2947	358	1121	1127	747
CCDC168	0	3	279	42	70	0	0	0	0	1	0	68	0	2
CCDC169	0	0	75	2	13	0	0	0	0	0	0	0	0	0
CCDC169-SOHLH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC17	0	0	5	1	1	0	0	148	0	0	0	0	0	0
CCDC170	0	221	288	5	28	0	0	29	0	6	0	2	2	5
CCDC171	242	800	5492	974	2491	81	192	1229	106	98	497	420	68	83
CCDC172	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CCDC173	1	5	1631	282	526	91	39	449	0	71	0	20	48	53
CCDC174	414	3318	12392	2483	6205	589	333	4106	359	1328	273	248	359	295
CCDC175	281	42	849	4	886	77	0	1316	41	1	0	1	0	9
CCDC176	103	287	3226	328	243	11	14	558	96	29	56	58	1	31
CCDC177	4	4	2172	109	400	1	0	1018	51	85	0	328	0	91
CCDC178	0	8	111	158	9	9	0	45	0	0	1	53	0	0
CCDC179	0	0	38	4	0	0	0	0	0	0	0	0	0	0
CCDC18	2	183	2913	341	3569	172	264	2030	8	401	9	216	450	10
