Gene symbol	Astrocytes	Neuron	Oligodendrocyte Precursor Cell	Newly Formed Oligodendrocyte	Myelinating Oligodendrocytes	Microglia	Endothelial Cells	1NSC-wt	2NSC-het	3NSC-ko	4NSC-ko	5NSC-wt
MTSS1L	131.3841885	61.92131	167.814037	45.053062	7.0072585	2.641013	5.499972	202.841	220.147	163.587	186.325	215.958
ZC3H13	8.6675065	4.6546705	4.88169	3.697203	1.0390995	1.0952335	3.01992	10.7159	9.5413	7.65162	8.39038	10.2228
PAPOLA	18.090475	18.2859295	24.8951445	15.6639015	6.6470695	9.63651	37.893018	62.8774	48.9556	42.7368	47.7383	51.7173
PPP1R7	4.0239785	6.731118	7.5962655	5.0719465	2.4407185	3.25615	4.749601	20.3896	17.9489	15.4782	15.6919	19.9397
NMB	14.2158695	2.6793245	1.664775	1.3174645	0.622645	3.348339	3.2329215	2.41976	4.88627	2.846	2.11197	2.91167
GTF2H4	3.955542	2.616423	4.9891335	2.9315895	1.951734	4.505444	3.7449305	16.5338	15.9969	11.291	12.8548	17.271
DDX54	8.906546	10.377262	13.339171	17.8075865	13.3257885	22.236181	19.0046545	31.9	31.3251	23.2588	26.3594	31.2483
HIST1H3I	1.1284575	0.6103825	0.4434195	0.240384	0.2412975	0.1	0.322753	1.16738	0.641146	0.799013	0.622751	0.641546
RPL22L1	13.086594	15.2352615	8.180254	7.7336625	4.3466635	8.9120305	44.005004	53.3241	59.6648	42.0734	41.7606	61.1075
DAXX	5.2728985	8.063832	7.491157	5.2126735	3.225971	7.8198895	6.1891675	14.9757	14.8221	10.8225	12.7547	13.8579
BCAN	817.811603	47.326407	555.959799	549.7344995	75.521706	11.953099	1.669573	201.959	245.931	204.707	195.269	239.001
DHX16	8.4159	6.9051815	8.7947735	7.638707	4.9793915	8.2242065	7.450255	19.9739	19.3914	14.1307	18.384	19.3462
ELP3	9.897762	20.02963	16.529653	11.161769	9.9005125	10.5529125	13.961687	40.6728	35.8327	30.8619	33.0549	43.2581
ALG9	8.0516325	7.603013	11.7242605	8.06557	6.228488	12.259076	4.995511	19.3458	18.1302	13.9525	15.8647	18.166
MED16	5.2528835	17.3534235	7.644768	8.0151715	6.5014065	10.8479245	10.740506	13.6569	13.9697	11.1979	12.1207	12.6339
SNRNP48	12.0877385	9.499455	8.020442	5.9287665	1.9498375	3.001854	8.183941	13.5695	10.6793	8.71709	9.71571	11.8105
RPL18	10.525466	16.611691	33.243343	27.5607525	26.0853695	70.7396225	65.763425	111.597	128.261	85.445	91.2463	99.8629
ALG8	4.2534245	2.1381085	3.918372	2.712815	1.635453	5.5671455	2.073132	11.2687	8.72288	7.85126	9.50509	11.9816
ADORA1	10.517112	5.352163	41.8562735	10.2279655	17.1376875	2.8175575	0.1710985	25.3185	27.062	22.3957	22.4862	25.6709
CCND1	39.036707	3.7452695	70.47309	8.648725	0.970035	33.487762	73.1323945	513.93	525.216	347.358	461.799	481.711
GPM6A	368.818417	381.718256	409.3887195	91.512185	23.788596	4.931497	5.2498125	115.458	86.6232	82.9574	74.1458	75.9797
TRIM33	7.491728	10.1067905	6.0285115	4.2775415	1.3484585	1.3786115	4.8710815	8.38653	6.57052	6.80982	6.47657	7.77079
ERF	23.738948	20.6374655	15.518209	29.646835	21.277785	59.8903315	25.5768425	33.0658	33.436	23.6126	28.2627	41.2714
IMMP2L	0.60337	0.68234	3.6164215	2.5544515	2.0749125	5.1443375	2.095677	5.50242	4.34518	3.64198	2.30983	3.7654
TMEM107	2.0529115	2.5245275	2.040748	0.7514955	0.7550475	0.5153275	1.8612285	12.7497	11.538	7.93657	8.98899	13.0313
NACC1	15.389237	15.931357	26.302495	20.7140105	14.759582	24.1667375	16.635326	57.3287	58.8557	46.7461	52.0783	59.4572
ZMYM2	15.481095	12.2944615	11.3588355	7.6701155	2.375189	1.6934785	14.9467735	14.0143	9.97102	9.94717	8.62255	11.0695
BRI3BP	7.4929725	12.0642885	10.6138445	10.872669	3.9270965	4.6975985	0.9168665	15.7754	12.5267	11.6301	11.7004	15.5438
MRPL19	2.43719	2.3838605	3.0744165	2.6857465	2.0511505	1.6260955	2.552237	8.61642	7.70153	5.93178	6.57497	7.7392
IGF2BP2	0.2326145	1.350491	0.1425525	0.184949	0.3780895	0.6951385	0.1	14.9338	13.9051	9.79058	14.2533	21.5228
PRPF38A	11.4096655	10.794392	14.8394855	12.7504135	9.0661385	5.15613	16.8384315	46.9797	37.0589	30.6648	33.036	41.6741
SSNA1	10.743574	17.046561	22.803882	34.421967	45.943238	16.6270625	32.464792	60.2724	54.988	43.5772	50.4256	60.597
CDC42SE1	28.4373365	22.735853	59.3270745	58.558401	39.135528	65.935639	59.7075075	97.0249	93.9224	71.8105	85.8032	99.9844
SLC25A14	5.42088	9.4224325	8.715804	5.4543445	3.4181295	1.717831	2.6257975	7.39122	5.98505	5.57118	6.0722	7.32314
PCF11	12.228386	8.6231315	8.12352	5.706599	0.9084105	3.012801	16.603005	10.2165	7.20534	6.78953	7.12618	8.49281
TAF7	10.4436795	5.6861155	5.7415645	3.904841	3.0582805	6.902005	19.915149	5.87082	5.06679	4.36824	3.64075	4.63296
AKAP1	6.519245	9.29189	8.3235035	7.569504	4.4006705	3.4187935	6.061755	19.8933	19.4524	15.6239	17.04	21.5629
CRTC1	7.239352	15.082643	10.6555765	7.501093	4.034079	6.0536885	2.047643	7.53671	7.87574	6.17344	6.99536	8.03574
DCAF13	12.2210405	7.2800105	10.58721	8.0421985	3.966655	6.3914965	13.373217	42.098	35.5812	29.3498	32.0996	38.812
VKORC1L1	2.680075	3.6684635	3.740933	4.514181	3.0459275	1.1526055	2.907477	18.0213	14.8805	12.8507	13.9402	17.3357
SIAH2	11.7388615	10.111593	10.638614	13.1695585	10.524643	19.147077	14.6234655	11.8794	10.1288	9.36558	8.3007	11.1855
GNE	2.6107275	2.780742	5.0787995	4.1542305	3.5708045	4.6778695	10.871785	18.4341	20.752	15.4255	17.0321	14.441
NOL7	12.7943385	16.553762	19.0926495	15.6961285	10.9177655	8.4468275	30.824057	50.5322	49.5295	35.9516	39.4142	45.2148
POLR3F	7.2229	5.8210025	5.6718295	3.6816855	0.9066475	1.2443415	3.772395	11.6565	8.61019	8.1589	8.1927	9.51156
PPP1R12B	4.3201775	5.0280395	4.751821	2.546022	1.45066	1.0236115	0.741239	5.98171	5.45714	5.60363	4.91862	5.76997
NME1	14.6559155	65.946081	63.4545035	77.1123735	40.768759	32.402293	42.7930825	171.849	158.112	124.155	143.368	172.057
ZC3H18	5.7221785	5.814701	4.756276	5.3382525	2.6761615	5.2555145	4.7659195	21.282	21.8171	17.0467	18.0578	20.6653
POLR2I	6.932508	9.186709	14.181364	13.8148395	8.6319185	12.2044405	19.823796	36.1776	37.0254	28.3853	28.2754	38.5145
RUNDC3A	26.876915	73.9420075	48.4092125	43.6111705	49.440132	14.229133	1.4575495	27.573	31.3623	20.8718	26.3454	41.5709
NCALD	8.878277	24.9671395	190.1106055	51.339522	8.629503	2.44061	2.664581	48.7207	37.3739	35.8452	28.9425	29.5862
LONRF1	3.7025225	9.4779035	3.671552	3.140232	1.2438875	3.8909515	1.4283845	6.40934	5.50269	4.7082	4.72632	6.55407
PSMC2	21.194319	25.9624275	27.2727545	27.170982	23.5780325	26.9888745	30.4989195	111.033	98.2929	86.2885	90.6769	104.261
EHD2	3.203285	0.6137205	1.776413	0.4489505	0.3071235	0.4220055	23.4769715	18.671	16.8598	12.286	14.1999	12.6951
MRPL36	6.7917315	4.5422505	15.96765	18.489313	14.9904315	13.600632	20.7668155	51.8119	46.2428	34.6744	44.1293	49.293
SEL1L3	6.975919	6.6624875	7.175227	0.9243455	0.4699225	0.4156465	0.1	22.2196	29.2788	15.1639	19.5289	26.0375
GSR	7.748054	7.6035625	9.0913855	8.101009	5.9548515	7.3132785	7.160654	42.2369	40.025	32.2894	33.3538	41.6613
DNAJC13	9.277155	5.293514	6.102573	3.3365735	1.1287865	3.811692	8.241511	19.5662	16.6607	16.1929	16.1115	18.2976
CCDC66	5.683836	2.4558625	5.4401875	2.431679	0.4278475	0.509601	2.5633805	8.14591	6.68538	5.83592	6.58129	6.25871
MAGOHB	3.453806	3.5060235	4.91196	3.4407535	1.249778	1.5450785	4.575046	24.0967	15.4383	13.2714	12.6929	18.048
TPM4	18.352884	8.7105525	21.985006	7.5509355	4.6683305	15.643656	322.792067	107.225	75.6111	64.2485	66.8682	77.8482
IARS2	15.3044355	8.363876	10.4696615	8.595449	6.295487	4.1267295	11.258428	50.6154	45.3217	37.3349	42.6058	51.3011
CHCHD1	14.449754	21.7984325	24.630551	24.0355805	24.362083	16.613637	33.2894365	152.106	109.165	84.8446	103.819	133.907
ARID4A	10.181642	5.4043035	5.33161	1.912384	0.2948405	1.2747035	4.6308295	5.59074	5.3411	4.57695	4.43534	4.89818
PTCD2	5.646485	6.748922	8.844318	4.6298075	4.3683395	4.840545	8.3702215	31.2897	28.0547	21.3355	23.1182	26.3247
MTSS1	3.938541	55.5159915	22.7653465	11.7265075	8.7099375	7.4174665	26.902602	28.3539	29.5345	24.4001	25.976	25.9258
HELZ	4.9174	3.3152105	3.679863	1.958416	0.3335855	3.1503855	4.422014	4.59388	5.17803	4.98449	4.15503	4.66476
DPP9	9.930207	9.831668	11.976794	10.1380635	6.426411	9.3741195	10.6694215	20.6075	21.3428	16.6861	20.0389	22.3295
KLHDC4	8.814779	8.4978745	8.0790485	6.214853	4.488972	10.7629	5.0229195	16.5999	14.726	13.4107	13.0295	15.9455
GPN1	7.4751635	8.9369005	14.611589	9.2954955	4.158409	10.0471765	6.792972	20.4993	18.0915	14.4709	16.7694	22.6614
METRN	79.243681	7.256193	107.8330825	126.4940495	164.400289	9.3462945	4.0462055	220.421	252.929	183.911	224.809	273.277
ALKBH8	5.937519	5.1739635	4.414948	3.1900985	1.005405	0.2142615	3.5989105	8.63061	7.00222	6.34303	6.16886	8.21828
CD2BP2	12.679898	17.594136	17.114808	14.0345435	13.1019175	9.546041	14.9781145	26.3278	23.3773	20.3445	22.1869	27.1101
DDX1	24.540866	24.096655	53.220583	49.286526	29.6470065	9.176604	26.551229	120.61	104.245	87.1479	95.0635	114.63
HSPH1	20.683633	18.7889555	61.228497	45.4316875	17.3132075	13.3371805	13.788607	48.0537	39.0243	37.4621	38.5778	45.8806
TFB1M	2.059997	2.214125	2.261017	2.1081165	1.838841	0.7093535	1.1675265	7.89472	5.94286	5.85232	5.51706	7.51822
MTR	3.147891	1.36863	2.48608	1.347054	0.262461	9.7490385	2.704754	7.17141	5.92658	5.19194	5.79254	6.21626
SNAPC3	8.675683	6.7326925	5.536669	4.2899955	2.1695985	1.0560155	4.4809495	13.2026	9.56393	7.2299	9.13606	9.93611
HES6	11.1500005	15.006168	17.4413225	10.210608	4.5661575	12.418796	12.0368235	81.9741	83.3425	51.4562	69.7229	76.0063
MRPL11	3.0713865	7.646775	6.0434715	6.7303125	5.854314	5.107106	9.1146155	15.1779	13.5391	11.5467	11.5644	14.6344
ALG3	14.7297375	4.061545	15.072797	8.239515	4.417968	9.6158025	5.9765425	20.6428	17.7512	14.8694	19.0026	18.6622
CCDC88C	11.530315	2.0113955	4.326513	3.524031	0.841663	0.1074725	1.673348	8.01117	7.90017	6.28142	7.94038	9.75237
ZCCHC3	4.3103635	3.8056835	5.146074	3.8711715	1.7348135	0.4043925	0.5582985	7.12994	6.36635	5.01357	5.22657	6.50191
CCDC117	7.379374	6.844896	12.086677	8.739599	4.44957	4.6105995	12.545781	6.5103	4.99261	4.80253	4.38212	5.6117
EP300	9.249725	7.6428005	9.038999	7.1376435	1.4816355	3.212314	5.300296	8.56911	8.92933	8.87652	7.37877	9.60297
TIMM44	26.3444505	17.907181	14.6512445	11.3780405	6.627963	11.831339	14.9376885	44.1669	37.0726	29.0841	32.404	36.9625
HDGF	24.360353	41.421146	56.916381	40.8398935	37.282941	33.3373725	43.556215	171.272	143.833	116.454	136.28	166.17
CROT	43.708239	4.839592	17.0395955	6.5711125	2.951539	5.230204	8.943504	113.899	105.212	82.1875	91.6734	54.9421
SNRPC	4.625723	6.588603	7.741455	6.6279105	5.930516	8.3367425	12.57885	29.9519	28.5799	20.6746	25.8823	28.4359
RPS15	42.177855	101.1912135	139.4325505	111.9764245	145.0275445	373.1234025	426.49489	528.621	622.69	445.584	452.254	541.743
EIF3A	34.6264865	25.4918225	24.678239	18.5224525	8.010843	10.173339	30.921706	118.1	106.215	87.7801	97.9454	111.462
DDX59	3.141976	3.322127	5.1341155	5.139853	1.7987155	2.50158	2.8169225	9.09862	10.1625	8.03442	7.22518	9.63353
NME3	12.174182	14.764643	31.3253735	20.2599435	22.2744695	23.0948365	16.267506	19.7329	17.4184	12.528	14.1173	20.1261
BTBD7	6.7153915	4.3433845	4.5127	3.2638655	0.658467	2.2848945	11.751385	9.18953	6.81686	7.00294	7.65985	8.46387
DDX49	7.189215	10.480672	10.844239	9.4145415	7.992729	16.605375	13.8802135	20.5883	21.4383	16.6399	18.815	21.3383
AP1AR	7.3879585	19.3323745	7.103971	5.74383	3.4971245	2.177812	5.8015595	17.9771	17.2805	12.4445	14.9076	16.3279
DYRK1A	22.174304	17.870153	12.9537325	12.251102	3.7618235	10.992849	9.8330875	15.7904	14.0209	12.845	12.2652	14.2605
B4GALT2	12.5167	26.042866	33.6935565	14.5361225	12.5130685	5.2393385	5.8247455	26.2424	26.93	20.9899	23.6748	27.6178
WDR92	1.4692075	1.018767	1.41397	0.761546	0.5673275	0.944619	2.385266	5.48845	3.86137	3.43875	4.32298	4.83507
WRN	1.2824205	1.1432675	1.260835	0.827805	0.5333225	0.1854825	1.2473455	2.55607	1.98269	1.91165	1.69063	2.03689
MED29	3.751477	3.787031	5.767275	3.9588945	2.2601865	7.0530775	5.920125	6.2568	6.7692	5.55019	6.03443	8.05224
ARFGAP2	13.1392625	6.933052	11.6964335	11.979096	11.1525955	29.5404	10.3161165	16.9779	16.6716	14.3552	14.6765	17.018
CCDC94	3.5321365	2.245185	2.833617	2.439129	2.175404	5.984449	3.7505315	12.0118	10.9588	7.17887	9.76378	11.5406
COQ6	8.274523	8.7209045	10.421054	9.21705	8.4297495	5.464597	9.2634935	18.1463	16.4535	13.5834	15.3632	19.3053
TPM3	28.877143	26.4698845	28.8427375	20.881988	22.701422	119.7256845	27.582178	118.027	106.94	81.8252	92.7741	103.394
DOHH	8.188684	19.997087	17.6261245	18.9856425	16.259532	35.7761705	15.5940555	37.408	39.6225	26.9863	33.1491	35.6534
LDLRAD3	17.5672195	7.7956205	11.8809075	23.07889	13.894861	0.1666345	48.957672	28.8428	24.5474	24.0532	21.2069	23.8659
RFNG	19.5621665	27.203702	22.5397155	18.561639	9.0521955	12.449054	5.006523	19.9974	20.8646	16.757	18.013	20.7717
NOSIP	6.9187945	14.8799755	12.948375	12.9764275	14.6893075	18.8237945	19.6787255	23.1622	24.0585	17.1882	20.561	20.6734
DHX30	21.2693985	22.71302	23.2001395	19.858466	12.1729955	13.06853	14.7078655	30.4437	28.4387	22.6667	25.6792	30.8363
KPTN	5.739266	7.4291855	9.351108	5.1608875	5.1655135	4.6698115	10.0862455	9.9492	8.83754	6.7805	7.00007	7.93811
MBD6	15.86437	12.7775055	10.090797	10.9612485	4.7099835	23.4687655	6.4716675	7.39564	7.45389	6.05555	7.60669	8.38628
SENP3	12.4578075	17.845275	18.700022	17.4843	10.0553055	18.461283	17.8594645	35.9265	37.0432	27.8149	30.6137	33.9131
SHMT2	10.368633	12.5253235	16.6632355	16.989251	8.999883	15.4554885	11.424188	86.8482	82.6627	64.573	66.7968	99.9407
DCUN1D1	3.498857	4.5344905	4.061369	3.623015	1.427766	0.8270095	3.175987	8.10682	6.05487	5.66176	4.96373	5.48274
POLR1E	2.2621885	1.058896	2.669999	1.357371	0.8163495	1.5889995	1.8219485	7.29648	7.11551	5.62101	5.79475	7.32189
PRDM9	1.151019	0.4313745	1.053004	0.8657935	0.3803565	0.820259	0.770351	0.95987	0.815125	0.658399	0.72927	1.0018
CNIH2	3.474845	84.71646	33.9575835	13.3185615	26.396178	17.1040505	1.693422	14.5901	22.2155	12.9849	13.9922	16.9534
MRTO4	3.6780945	2.5139795	5.2146625	5.8193335	2.4987405	6.866159	3.1084715	24.0252	27.3049	16.4084	22.422	24.7725
ACIN1	38.3138375	33.7506415	31.146214	23.119303	8.27859	24.590701	25.782782	51.6919	49.526	39.0841	42.4492	47.9391
EHMT2	24.8260735	39.42721	33.1109105	29.5475235	21.9840985	43.010531	17.6348745	47.7091	48.9461	37.9566	42.5997	47.9776
PYGO2	21.063657	12.450425	14.75511	12.8949155	8.755142	13.5915755	8.7587845	24.5679	23.9597	18.9716	20.4393	21.6535
SURF6	3.840972	5.114562	4.4838705	5.571716	4.4658105	4.3337995	6.3686765	9.81366	10.0654	8.45781	9.17492	10.9561
TAF6	8.626975	9.3676665	12.4675175	5.861844	2.5651945	10.13262	8.328542	31.8575	30.7054	23.9075	26.0644	31.0123
STAT5B	7.4431185	3.199543	11.019864	3.7250275	1.5614935	9.244951	9.49637	6.83301	6.15792	5.251	5.253	6.09954
THRAP3	23.7960545	18.8711245	16.829568	14.228061	6.792711	10.794259	17.6805645	39.1929	38.625	31.882	33.1919	38.8802
MRPS35	10.9896365	11.226884	11.723657	7.621888	3.5922775	8.1006495	18.034129	48.9761	45.2747	32.7919	39.6527	47.6723
MIER3	13.0475285	4.994699	5.245661	2.9707875	0.790157	1.063646	3.9471835	5.97729	3.90594	4.26961	4.12246	4.59049
GPANK1	1.6609425	3.3699335	4.119379	2.6976205	2.887264	4.555169	3.469092	6.97267	6.55998	4.63822	5.45331	7.24481
PSMG2	15.8839785	11.6685825	24.5934435	15.319456	7.0866645	6.309081	18.2975225	40.7813	32.1744	25.1422	31.6858	38.6001
ZBTB5	5.5162735	4.943992	4.7383675	2.45039	1.447581	1.4253125	2.2251105	9.01567	8.37019	6.87575	7.49508	8.04755
MAST3	5.3939505	12.051755	10.089692	14.7596035	23.7951585	34.3038165	1.1799265	6.68654	6.31527	5.6126	6.08219	6.61849
RPAP1	6.4073745	3.934536	7.5304775	6.15734	3.7827505	4.1224495	4.092055	9.45564	9.10569	6.79063	8.54277	8.68073
MIF4GD	14.662208	2.695696	59.4426015	40.587418	21.6323565	26.43262	26.1318685	11.7995	11.7729	9.08278	9.33319	11.1645
RAF1	34.432937	30.1698325	46.4974205	35.677868	17.7186125	24.6007335	31.447995	54.1195	47.9136	41.7394	43.3241	50.7271
DZIP3	12.75906	14.8707685	11.033837	5.50525	0.6455525	0.3265425	1.876184	14.8448	10.2894	10.2084	9.37102	10.6635
BTF3L4	9.243995	14.9227185	14.9723475	10.8843455	3.3192995	3.589663	8.5622445	13.3428	10.7872	10.1483	9.52055	10.2502
MUS81	7.9312385	5.5180835	7.3434065	5.264179	3.774884	7.4614925	5.8666745	14.0704	13.5734	10.8517	11.716	13.9739
BMP7	22.1251805	18.454534	31.769838	5.671464	0.304445	0.2361845	0.281691	22.9675	22.6379	25.2811	19.5874	40.3398
TRAPPC1	16.5014435	22.020575	32.4417125	29.784776	32.4188315	40.0261505	42.9959705	103.987	79.4998	66.8453	77.3605	90.1532
RBM39	128.598773	68.948404	67.889314	46.7592695	11.932403	22.6978325	88.119942	91.6814	70.8167	63.9505	61.6698	75.3134
RPL15	23.0753295	76.078672	78.0953105	63.0698735	56.454711	154.6056575	224.7952725	81.9379	78.5573	61.7798	64.7099	71.999
COX10	11.8399255	3.9664545	4.944542	3.635464	2.6406	3.351686	4.406108	16.5437	15.2196	11.6544	14.8433	15.0579
KCTD20	12.212438	20.400667	19.0591025	13.7854565	7.8757945	16.8670675	27.1643025	28.204	23.8077	21.4235	22.9265	24.1852
RTF1	7.21833	12.2449125	8.255215	4.5131715	1.614485	3.641561	8.855888	17.6338	15.8259	13.8856	13.6653	16.8608
DCLRE1A	3.0780665	1.1019795	2.819836	1.869404	0.78451	0.437694	2.034083	4.85502	3.87274	4.23506	3.3898	4.8317
RDH13	7.0515725	11.211582	5.2695455	2.8374145	0.6172125	1.938657	1.396714	10.6501	8.34639	6.57122	9.80463	8.99154
ZBTB41	10.0816555	4.596409	4.5374505	2.747049	0.886015	0.244921	2.3971685	7.39593	5.63836	5.1622	5.15822	5.19668
RPL34	0.931508	1.3963895	1.721422	1.3932105	0.7559715	1.494106	4.615275	15.4625	18.2876	7.87855	10.9284	12.8068
NFYB	8.6354815	6.842508	7.115127	3.774111	1.865187	3.112377	6.5946705	15.9793	12.433	10.8075	10.3753	13.6886
NDUFA12	8.8454375	13.3296015	13.885195	16.8166605	15.812191	10.562711	11.8876005	82.6081	59.458	54.1928	55.8299	84.3767
ACTR8	9.030774	7.9490595	9.872503	8.465181	7.279492	5.3713945	7.996627	23.1634	19.9855	16.9398	19.3992	21.8388
RNPEPL1	11.43918	8.9639645	20.556052	39.624176	42.7152625	26.185329	13.608095	23.1652	21.9022	18.4172	20.4305	23.4717
POGZ	10.980216	9.6253765	9.791286	5.1277435	1.159875	4.0417195	4.2709235	7.3423	6.47772	5.94289	5.95796	7.21543
BTF3	4.981029	7.6400105	7.964478	9.40732	7.211547	7.6549115	28.4320885	80.5964	66.7762	59.6233	56.6101	67.1791
USP28	8.126756	4.453303	5.1969085	2.655316	1.025075	3.6003805	2.8077155	11.1065	8.66304	7.84714	7.70568	10.0889
RPS21	41.4437095	97.945695	103.7331455	120.7378895	157.1046675	375.414164	515.571398	245.328	208.76	168.429	180.67	231.258
DPYSL3	18.285584	162.6753745	90.8089855	20.3111175	0.5977185	0.3104065	1.337613	68.8185	66.8669	66.6305	52.1527	81.456
TSN	18.5431425	48.9876455	28.6567515	19.8367005	10.94689	13.6049025	16.5653305	56.7372	46.2095	39.6544	45.0142	53.6336
VBP1	23.973327	69.71551	35.283983	42.705252	36.6286045	5.554876	48.146132	68.7813	42.7828	36.7923	38.6976	43.8625
FAM53A	6.659859	3.0086075	9.3808395	10.455993	6.075483	13.3625525	12.594665	23.1489	22.0895	18.044	18.5856	23.377
UBR5	47.3543765	36.3556995	14.422305	12.4068705	4.0528285	4.9475845	13.4139445	25.5993	24.8751	23.5318	22.0443	26.2398
AP3B2	5.004019	36.6861945	19.912471	7.269379	7.7232045	1.018506	0.2358655	3.72367	3.53843	3.71481	3.42235	4.05208
SNX8	5.64639	11.533767	12.715069	11.5637335	7.9108635	74.3555465	2.606973	22.696	20.2951	17.6253	19.1239	21.7258
EIF2S2	11.171983	14.20083	12.3142615	11.9172725	6.0819175	5.98516	27.1992295	57.1211	52.1984	44.4266	43.4537	56.9662
ABCB8	12.433527	9.479286	15.8052095	15.9096295	14.834498	8.437181	6.7796355	25.3348	23.7819	17.7371	22.9999	21.8179
PHC1	16.699145	16.93718	17.097743	30.9910115	30.287134	6.571309	11.7418315	16.4084	15.5824	13.8401	14.5353	16.2592
CDC26	8.7548165	9.2856945	15.2760495	8.3883175	8.2723595	11.5144775	28.2807405	33.9268	29.0483	24.8267	25.1866	32.2731
FZD3	8.168455	6.664699	7.018241	6.5201095	2.034918	0.1	0.770033	11.3241	10.642	9.4449	9.55398	11.436
ANGEL2	13.9155505	11.3839655	13.021983	11.099773	6.8185425	6.2596895	15.7695745	19.8572	18.7567	15.8425	17.2172	19.5815
TRPS1	15.563953	1.0484455	3.1489065	1.3943805	0.525185	0.1443195	2.775855	7.81939	6.06786	5.55053	6.10646	6.66365
SIPA1L3	3.804881	7.495655	2.482807	1.411025	0.9899445	2.4766835	3.6873805	10.0229	10.9658	8.93155	8.66304	8.86428
FTSJ1	3.3637595	4.0914505	6.239858	6.125451	4.9911415	3.0837585	6.267173	8.6524	7.9481	6.61838	7.12723	8.26122
PPP1R10	8.2377835	6.877347	6.928116	4.680223	2.809663	17.4765465	21.125444	18.3386	16.3455	14.4884	14.935	18.2772
CCDC124	13.038076	25.439167	36.819129	31.1632135	33.6458005	30.2010125	28.107407	97.1613	88.1003	63.5918	76.5151	86.1774
RAP2C	11.3937725	11.550251	11.6900995	14.714958	5.9935195	5.1174495	15.4458395	34.2032	28.5149	22.5333	27.2484	22.9567
MED27	8.5460155	9.455722	16.3963385	19.378122	9.610039	12.946202	18.374617	21.4781	20.1723	19.9104	17.2224	23.195
AHDC1	6.3811635	13.6007525	4.423058	1.861394	0.4681715	6.834279	2.3694945	11.8833	13.6103	10.3687	11.3612	11.8396
TSR2	4.739796	13.234107	12.508884	10.5161525	6.137057	2.8520735	3.327378	12.5757	11.1792	9.51859	9.75179	10.9281
IFT74	8.21462	4.8502935	5.179774	3.190422	0.8164455	0.3879105	5.8847035	24.672	19.2682	17.3516	18.9681	21.3282
KDM1B	4.3039225	4.8236745	6.5431685	9.057719	3.595495	2.413847	2.5729625	4.76099	3.78968	3.60502	3.6076	4.20631
PHF12	11.765934	11.6943895	11.1497835	7.8825175	2.422713	10.070054	7.7241535	12.8971	11.5646	10.0843	11.5136	12.7491
NUDT4	16.4652935	37.213612	21.350105	91.8061915	110.9647545	11.2053845	13.734759	137.86	147.596	88.7708	113.058	96.2926
ALDH16A1	2.1148755	2.940203	4.042466	3.194554	3.168259	21.3554325	7.0249855	14.2353	12.1478	9.18516	11.1628	12.0211
RPS15A	5.415684	17.4977205	9.00216	7.7733675	2.3844355	7.0434655	8.5692655	6.75882	7.12117	5.71934	6.09286	7.04047
RMI1	4.9984635	2.7964085	4.7033775	3.5347685	1.833392	1.4220975	2.128258	8.50207	7.69626	6.519	6.8686	7.58449
CBLL1	4.1044715	6.0576895	4.3407935	3.7348435	2.1158955	2.383953	3.3692525	6.27896	4.09145	4.29838	4.16234	4.26723
MAML1	3.6179295	3.4258295	3.4767645	3.968059	1.824763	6.8720705	7.964781	6.75591	6.45966	5.2377	5.86752	6.07418
TAGLN2	7.4327795	9.5941865	48.0416825	10.746756	3.2015405	112.6133615	208.7890855	133.22	104.477	85.4562	125.559	192.427
POLR3H	47.0536855	10.7781635	23.340781	30.6302865	8.885497	5.1276755	4.3632155	27.959	27.1467	18.3921	28.3769	29.6623
MED24	12.364837	17.7807005	16.7828345	10.787608	5.634477	10.5794685	9.0771465	18.9481	17.7422	15.4629	15.7717	17.9028
PSMD1	24.9997525	21.2692685	28.7827415	30.7243095	16.932766	12.458824	35.714677	116.166	88.6481	84.2436	87.4117	98.3236
EEF1G	12.9917705	21.6573535	26.0980225	22.531574	15.9313265	50.459469	55.4100305	195.249	172.589	139.306	151.259	151.414
SMARCD3	22.9815645	20.4949955	23.9632535	8.275275	10.9462855	4.0626745	1.3613555	28.9086	31.3308	26.4108	27.0037	30.8873
DNAJA1	3.840395	11.1369265	5.746713	6.507834	3.656157	1.395245	5.035728	19.27	16.0796	13.3008	13.789	14.4708
NDUFAF2	7.39932	12.6672275	19.8890895	24.952168	20.700903	3.1695705	10.1693	79.4955	65.8984	54.4736	63.266	67.3468
DUSP7	0.450195	9.601971	5.596383	11.7253165	11.5180145	14.469803	2.295273	22.3194	24.9455	16.1921	19.9064	22.7018
FNBP1L	11.522383	54.4764015	14.07965	2.784618	0.237631	1.641522	24.050301	21.6149	15.6902	16.0003	15.4793	18.6122
MFHAS1	15.409672	6.091904	4.755457	1.503696	0.339358	2.5046205	10.301189	19.764	17.9644	15.2006	16.6751	18.4879
NAE1	15.1701405	14.3298015	18.5400005	9.204598	3.2159665	3.2596175	13.502991	33.4726	22.4419	21.406	21.5827	26.2751
KIF13A	6.968384	3.735725	17.7270505	7.510174	3.938773	1.8665675	4.3906485	14.132	13.6494	11.6234	12.063	13.9654
WAC	14.6468105	21.198566	21.0341155	16.8703695	4.521786	5.038431	19.210892	18.4736	15.0072	14.6695	13.8192	15.0108
SRBD1	3.622252	2.3420595	4.762787	3.320904	1.6937385	1.589435	5.417303	9.51154	7.83851	7.01334	7.76187	9.29759
